,Datetime,SA DPT,SA Temp,RA DPT,SA %RH,RA Temp,RA Humidity,Unit Status
0,2022-05-01 00:31:52,16.2,33.4,16.2,35.9,31.5,40.3,0
1,2022-05-01 00:31:52,16.1,33.3,16.1,36.4,31.0,41.2,0
2,2022-05-01 00:31:52,16.4,33.1,16.2,36.7,31.1,40.7,0
3,2022-05-01 00:48:33,16.3,33.0,15.9,36.9,30.8,41.3,0
4,2022-05-01 00:48:33,16.1,32.8,15.9,37.3,30.8,41.4,0
5,2022-05-01 00:48:33,16.0,32.7,15.8,37.6,30.7,41.5,0
6,2022-05-01 01:18:33,16.3,32.5,16.0,37.8,30.4,41.9,0
7,2022-05-01 01:18:33,16.2,32.4,15.7,37.9,30.5,41.6,0
8,2022-05-01 01:18:33,16.0,32.2,15.8,38.2,30.2,42.4,0
9,2022-05-01 01:33:16,15.9,32.1,15.8,38.5,30.2,42.2,0
10,2022-05-01 01:33:16,16.1,31.9,16.1,38.8,30.1,42.9,0
11,2022-05-01 01:33:16,16.0,31.8,16.1,39.2,30.1,43.2,0
12,2022-05-01 01:48:17,15.9,31.6,15.9,39.5,29.9,43.5,0
13,2022-05-01 01:48:17,16.2,31.5,16.1,39.9,29.7,44.2,0
14,2022-05-01 01:48:17,16.1,31.4,16.1,40.2,29.8,44.1,0
15,2022-05-01 02:03:29,15.9,31.2,16.1,40.6,29.3,45.3,0
16,2022-05-01 02:03:29,16.2,31.1,16.5,41.1,29.4,45.7,0
17,2022-05-01 02:03:29,16.1,31.0,16.6,41.6,29.1,46.8,0
18,2022-05-01 02:19:12,16.3,30.8,16.6,42.2,28.8,47.8,0
19,2022-05-01 02:19:12,16.6,30.7,16.9,42.7,29.1,47.8,0
20,2022-05-01 02:19:12,16.5,30.6,16.9,43.4,29.1,48.1,0
21,2022-05-01 02:33:01,16.5,30.6,16.7,43.6,29.6,46.4,0
22,2022-05-01 02:33:01,16.5,30.6,16.5,43.6,30.2,44.4,0
23,2022-05-01 02:33:01,16.5,30.6,16.4,43.2,30.9,42.3,0
24,2022-05-01 02:50:31,16.2,30.7,16.1,42.5,31.9,39.6,0
25,2022-05-01 02:50:31,15.8,30.7,16.1,41.6,32.8,37.5,0
26,2022-05-01 02:50:31,15.9,30.8,16.4,41.0,33.6,36.2,0
27,2022-05-01 03:07:17,15.7,31.0,16.7,40.6,34.5,35.1,0
28,2022-05-01 03:07:17,15.9,31.2,16.7,40.2,35.5,33.3,0
29,2022-05-01 03:07:17,15.7,31.4,16.8,39.4,36.2,31.7,0
30,2022-05-01 03:22:35,15.9,31.6,16.4,38.8,36.9,30.5,0
31,2022-05-01 03:22:35,15.6,31.8,16.9,38.3,37.5,29.8,0
32,2022-05-01 03:22:35,15.8,32.0,17.0,37.9,38.2,28.9,0
33,2022-05-01 03:39:25,15.7,32.3,16.8,37.4,38.7,28.1,0
34,2022-05-01 03:39:25,15.8,32.5,16.8,36.9,39.3,27.5,0
35,2022-05-01 03:39:25,15.6,32.7,16.6,36.2,39.8,26.3,0
36,2022-05-01 03:55:18,15.4,33.0,17.1,35.5,40.4,25.9,0
37,2022-05-01 03:55:18,15.6,33.2,17.0,35.1,41.0,25.5,0
38,2022-05-01 03:55:18,15.8,33.5,17.4,34.7,41.5,24.9,0
39,2022-05-01 04:12:06,15.6,33.7,17.2,34.0,42.0,23.8,0
40,2022-05-01 04:12:06,14.9,34.0,16.1,32.5,42.4,22.6,0
41,2022-05-01 04:12:06,14.6,34.3,15.7,31.0,42.7,21.6,0
42,2022-05-01 04:25:49,14.3,34.5,16.6,30.1,42.9,21.7,0
43,2022-05-01 04:25:49,14.0,34.8,15.9,29.4,43.0,21.1,0
44,2022-05-01 04:25:49,13.7,35.0,15.2,28.5,43.0,20.6,0
45,2022-05-01 04:41:24,13.8,35.2,15.8,28.1,42.9,21.1,0
46,2022-05-01 04:41:24,14.0,35.4,15.8,27.7,42.8,20.8,0
47,2022-05-01 04:41:24,14.2,35.6,15.5,27.7,42.5,21.6,0
48,2022-05-01 04:41:24,14.3,35.7,16.0,28.0,42.2,22.3,0
49,2022-05-01 04:56:47,14.3,35.8,16.3,28.6,41.8,23.4,0
50,2022-05-01 04:56:47,15.0,35.9,16.5,29.2,41.2,24.2,0
51,2022-05-01 04:56:47,15.0,35.9,16.1,29.1,40.7,24.1,0
52,2022-05-01 05:11:59,15.0,35.9,15.6,28.7,40.1,24.3,0
53,2022-05-01 05:11:59,14.4,35.9,15.5,28.1,39.2,24.7,0
54,2022-05-01 05:11:59,14.4,35.9,15.4,27.9,38.4,25.7,0
55,2022-05-01 05:27:13,14.3,35.8,15.2,28.1,37.5,26.7,0
56,2022-05-01 05:27:13,14.3,35.7,14.6,28.3,36.8,27.1,0
57,2022-05-01 05:27:13,14.2,35.6,14.1,28.4,36.2,27.2,0
58,2022-05-01 05:46:58,14.1,35.5,14.3,28.5,35.7,28.0,0
59,2022-05-01 05:46:58,14.6,35.4,15.0,28.9,35.3,29.8,0
60,2022-05-01 05:46:58,15.0,35.3,16.1,29.8,34.9,33.6,0
61,2022-05-01 06:02:31,15.9,35.2,17.3,32.0,34.6,36.6,0
62,2022-05-01 06:02:31,16.8,35.1,18.2,34.4,34.2,39.0,0
63,2022-05-01 06:02:31,17.6,35.0,18.3,35.7,33.9,40.6,0
64,2022-05-01 06:02:31,17.9,34.8,18.8,36.7,33.6,42.5,0
65,2022-05-01 06:02:31,18.2,34.7,19.0,37.7,33.4,43.3,0
66,2022-05-01 06:02:31,18.0,34.5,18.8,38.2,33.1,43.4,0
67,2022-05-01 06:20:09,18.4,34.4,19.3,38.7,32.9,44.8,0
68,2022-05-01 06:20:09,18.2,34.2,19.3,39.6,32.5,46.2,0
69,2022-05-01 06:20:09,18.5,34.1,19.2,40.5,32.4,46.2,0
0,2022-05-02 00:01:36,18.7,33.9,19.0,41.1,32.2,46.3,0
1,2022-05-02 00:17:52,18.9,33.7,19.2,41.7,32.0,47.4,0
2,2022-05-02 00:36:07,18.8,33.6,19.3,42.3,31.7,47.8,0
3,2022-05-02 00:52:00,19.0,33.4,19.2,42.9,31.6,48.2,0
4,2022-05-02 01:08:57,18.9,33.2,19.1,43.3,31.2,48.7,0
5,2022-05-02 01:26:47,19.1,33.1,19.1,43.7,31.2,48.7,0
6,2022-05-02 01:41:48,18.9,32.9,18.9,43.9,30.9,48.8,0
7,2022-05-02 01:57:57,18.8,32.7,18.5,44.0,30.9,48.3,0
8,2022-05-02 02:18:39,18.7,32.6,18.3,44.0,30.6,48.6,0
